Text,Toxicity
thank you,8.900988101959229
hey there,7.190707325935364
love is a very strong thing,7.6906003057956696
my sweetheart,1.6980251297354698
did I love you so much,5.644902586936951
you know what it's okay,7.775324583053589
it's right now what is it why are you guys I love you even more  than myself I love you more than you thank you,8.25556069612503
my love for English my love for you is pure  it is very clear I love you so much even if  ,3.589095175266266
we are the marketplace we are the judge I will  continue to preach the Lord it's so special,6.396108865737915
we have used to kiss each other,0.5587361752986908
coming to still kissing from my  daughter eh or twin people of these days  ,0.3107652999460697
we say you you will come home kissing in public you're not leaving  anything for the man who will marry you,0.5446249153465033
others now good afternoon sir what  is good about the afternoon tell me,8.611714094877243
your mouth is open like a suit what is  good about the afternoon tell me you know  ,0.05197843420319259
I was just passing as I saw you the way  you understand I don't want you to watch I  ,0.9433761239051819
understand since you came here if you're not the  talking correctly you have you been talking like  ,4.89138700067997
a man who wants to get mad do you want to get mad  and I decided to stop and talk to you because you  ,0.08226435747928917
are my father's best friend and I don't want you  to be hot because your daughter and her friend  ,0.16931705176830292
their lovers and that knows them so you  trying to do all this you want yourself  ,0.2764190314337611
okay so you pitched them together they become  lovers closer those who are not husband and  ,3.4483134746551514
married and and wife you are pitching  them together because you are one of the   causes of the problem I'm having in my family  knows when the evidence is there eh hey sorry,0.3386174561455846
people are funny these days this man  should have gone to his business yeah,2.909938618540764
if I look at her critically I can see  and when inside her muffin and coming  ,2.620358392596245
out to to intervene in the Affairs not his  own eh do you know you look like everyone  ,0.6297574378550053
on the other hand he looks like monkey even  the header you come that's where monkeys kiss  ,0.06560382898896933
their heads are you from the ancestry of  monkey now I'm asking you you can ask me,0.0984645914286375
I'm talking to you I'm truly not feeling fine no what do you  think I'll lie about something like that  ,6.803269684314728
I don't lie about my health now I'm  very very sick how will I believe you  ,0.28624641709029675
when they give you heartstroke immediately  become sick I'm telling you this because,0.12248462298884988
one day you will get married and you'll be you  now know that I'm doing you good I'm giving  ,0.9123681113123894
you time for you to change and become a  better person come back to your senses,0.42896741069853306
why are you always like this why are you touching me mama you're not saying  anything no she like going out to do other  ,0.4048120230436325
people's house choice but she does not like doing  house choice in the house say mama for how long,6.445169448852539
mama I said I see me like this I will join sister  team since is this how this one want to diabet  ,0.1898192334920168
okay let's say I go say when there are washing  plate and doing the answers we are fools mama   is not fair ah no it's not fair both of you  should calm down I know what I'm doing please,0.249666185118258
music don't worry don't worry I know  what to do you think you think  ,3.7726707756519318
you can talk to me right you're  always think you can talk to me,7.111667096614838
I don't understand it you you'll be in the  house either sister like you want us to be   washing plate you will form sickness and go  out and then come on so it's me your target,0.2329471753910184
everybody yeah,7.234464585781097
listening to what I'm saying did anybody beat you mean,4.626670479774475
what did you do to him and why you  know about most killed me again today  ,0.4446333274245262
almost killed you but he didn't  kill him at the end of the day right  ,0.5018725525587797
stop being funny she said almost we are saying  the same thing almost you said almost she said  ,1.2604217045009136
almost I said almost you say almost almost now  come let me ask you beauty are you not tired of  ,0.6420169491320848
your father every day one trouble are you not  tired look if you are not tired me I'm tired,0.10645226575434208
as long as he lives I can never be  happy I don't know why papa is doing   all this to me I don't know I don't  understand what does he mean by that  ,1.7909599468111992
huh you need to talk to this your husband the  way he's taking this thing is not good at all  ,0.11892695911228657
ah thank God my husband is your father  so you two talk to your father are you  ,1.1657866649329662
hearing me but but let me ask you why don't  you want to listen to your father oh don't,0.20535413641482592
look at that doesn't even confused I never  confused I don't understand Papa one thing I  ,6.720829755067825
will tell you Over My Dead Body will I marry  any other man if I don't marry my obim if I  ,0.3675550688058138
don't marry a kid I will not buy any other  man no mama I'm saying my own you to try and  ,0.11455588974058628
listen to your father's warning what did you  even see in that time listen to your father   a flight that refused to hit to advice always  end up in the grave ah what's your problem but,0.08145874598994851
why is your father not worried about her  wedding how well that is even your elder sister  ,0.4218232352286577
or is he enjoying your single Hood  every time it's beauty beauty beauty   beauty is he okay or is there anything  he's getting from your single root,3.3597342669963837
I don't understand,3.966670110821724
because I'm not a lover girl like some people yeah   you're not even ashamed of yourself  look at what you're saying at your age,0.11598920682445168
until you know that it's like the morning he  talks about them punish them disgrace them  ,0.2719445852562785
the more their love grows stronger so I will  leave them alone you talk to your father you  ,1.3162926770746708
